term,coefficient
bom,-14.476627129228728
chegou antes,-13.50108113044688
de,-12.481945533172278
tudo,-11.534001858881032
parabéns,-9.70160325617694
em perfeito,-9.221128658832328
entrega no,-9.207984324247816
perfeito estado,-9.175854089607089
estado,-8.957998150585075
produtos,-8.90695908399044
certo,-8.85841094410754
do produto,-8.30348099357054
muito bem,-7.856341947965523
data,-7.836974397385494
entregou,-7.775294308299167
rápida,-7.477033577772678
produto não,-7.456548069153582
nao,-7.37894492458368
gostei do,-7.219404794055791
prazo de,-7.181497542312828
porém,-7.170976435097673
de entrega,-7.138279796049298
tudo certo,-7.072035738177551
muito satisfeito,-7.010337448277398
prazo recomendo,-6.816551424385435
como,-6.813941017750408
produto veio,-6.805830059093683
rápida produto,-6.765330294319375
comprar,-6.720889340138552
no site,-6.714514321856318
entrega antes,-6.637469714928425
esperado,-6.379203973453025
pelo,-6.362793439301372
ser,-6.323190755236778
entrega,-6.187175533529432
muito rápido,-6.142181305252209
entregue dentro,-6.107322181453497
sempre,-6.069823501377032
muito bom,-6.027327791761916
bom produto,-5.931248348145206
um,-5.894753516025945
qualidade,-5.874319038015308
estipulado,-5.8713368453141594
cor,-5.862714521654137
na,-5.761882905831917
indico,-5.757875815113061
estou,-5.713644068105165
chegou muito,-5.610705767265549
produto ótimo,-5.609595077614579
defeito,-5.594729672236069
lannister,-5.575196424510904
diferente,-5.483683456978234
top,-5.462009468661739
produto recomendo,-5.453199921166372
por,-5.45000821812176
muito do,-5.439056935310589
só,-5.402229644559629
antes da,-5.3986338522171735
boa qualidade,-5.3425227628669285
isso,-5.245801975151431
rapido,-5.21908336638936
ou,-5.19099400571331
entregue bem,-5.148544778999688
10,-5.130973879810754
prazo estipulado,-5.129918651314517
satisfeita,-5.08519449133577
linda,-5.045492150994284
achei,-5.040556840308667
duas,-5.030282392329602
prazo muito,-4.987217719941244
frete,-4.940282628072851
da data,-4.894076018145613
gostei,-4.8220978709199915
com defeito,-4.820555260485468
em,-4.776824958015729
não gostei,-4.7495073268055235
outra,-4.738766821514287
td,-4.6888057996893435
eficiente,-4.682575372527307
recebido,-4.669852727945051
presente,-4.655668880047812
entrega super,-4.652760064226584
eu esperava,-4.582534809295753
mais,-4.539509572764082
excelente atendimento,-4.528653270960114
satisfeita com,-4.487782230549206
porem,-4.468028332539468
nota 10,-4.462914007832737
comprei um,-4.4488214256894185
vou,-4.444401959216615
na entrega,-4.415371264468146
anunciado,-4.404533704847702
os produtos,-4.394276706845543
esta,-4.383991298984111
esperava,-4.376382031035722
correio,-4.3280388766697095
esse,-4.316148514806736
veio,-4.293935562387519
qualidade entrega,-4.285384009444482
está,-4.208805198805266
qualidade recomendo,-4.193125921338478
veio bem,-4.15561952164457
fui,-4.155519568425635
satisfeito com,-4.141927298662662
ele,-4.139375283026993
retorno,-4.110161456064548
lojas,-4.103278652862376
bom chegou,-4.097582772226441
confiável,-4.075531054810039
chegou dentro,-4.071222229900609
que foi,-4.060334557436338
estou aguardando,-4.032836531291917
era,-4.002969394519885
recebi um,-3.975434356162834
ruim,-3.9240518099521764
aguardo,-3.914455841585414
da loja,-3.894684766674336
essa,-3.8761482727610694
mas não,-3.868083220377596
bom atendimento,-3.832517462894102
prevista,-3.799104287926517
bonita,-3.798828648858822
acordo,-3.788286356750946
no tempo,-3.7801266246688083
antes,-3.7733345458626757
exatamente,-3.770095789965634
como sempre,-3.7664843460209556
ter,-3.761634704767709
superou,-3.7566648768380007
site,-3.7305369215833446
prazo produto,-3.7245216364831983
funciona,-3.716812079622445
de acordo,-3.7052731608888663
da entrega,-3.702882348480737
falta,-3.6713567224610006
do esperado,-3.644458614870043
eu comprei,-3.640142848461786
nunca,-3.6341081796901205
muito rápida,-3.6263362212248396
meu pedido,-3.6112547724168014
devolução,-3.589697105632775
prazo previsto,-3.5864849117668203
troca,-3.550496282890602
parece,-3.546485447467767
ótima qualidade,-3.536446242818938
com produto,-3.532567750528927
apesar,-3.5295626572555676
boa compra,-3.5248998351979557
feita,-3.4793579675332733
ja,-3.4683410736565286
faltou,-3.4549429705066554
ótimo vendedor,-3.452289774792252
recebi antes,-3.4336302884525094
produto muito,-3.421853466168378
só não,-3.395239217410811
devolver,-3.3936548889333884
casa,-3.3825633670321564
fora,-3.3803114822220555
chegou rápido,-3.370229706169846
aguardando,-3.353103989747993
empresa,-3.3397567487755357
película,-3.3392497568414887
caro,-3.334913640855701
data prevista,-3.3346949940941224
ótima loja,-3.31533449369772
eu não,-3.3141452088819063
demora,-3.3057608186040004
tecido,-3.2792365414982285
quanto,-3.270331111179675
minha,-3.264820811249334
bem rápido,-3.251272604702175
mas,-3.2431192167226413
fica,-3.22943228633877
acordo com,-3.227141980069184
ela,-3.224173257696026
pequeno,-3.2015002389285243
atende,-3.190028100825062
anuncio,-3.187379320886476
as minhas,-3.1803854708231367
envio,-3.1709190922937673
problema,-3.1707946950578303
sobre,-3.1683061431124915
prazo certo,-3.14404367500107
entregue em,-3.100844383747978
produto perfeito,-3.0750060441011238
além,-3.064054158045169
péssima,-3.0516458926408023
meus,-3.031469282078994
gosto,-2.9966215578798336
inferior,-2.9920937869484168
resistente,-2.9805590788596197
tamanho,-2.977828215020504
acho,-2.970841528165477
prometido,-2.962398065431035
encomenda,-2.9595941417551637
recomendo chegou,-2.957595238782713
determinado,-2.952800834395612
certeza,-2.9388777764479075
enviado,-2.937341577929935
semana,-2.931878885963549
dois,-2.918204580047305
com compra,-2.9170890397620775
baixa,-2.9106445542004313
assim,-2.905498441782891
dentro,-2.8902724576677246
cadeira,-2.888274343803099
recomendo produto,-2.882660583566631
produto ainda,-2.8640303117829466
muita,-2.860872305477934
até antes,-2.8489744668398216
conforme anunciado,-2.8368050762363826
produto de,-2.832487258617142
com entrega,-2.8182810839795587
trocar,-2.8128131295197143
informado,-2.8070872363493047
confiavel,-2.8026740713836586
espero,-2.779659227955605
seguro,-2.7793984073582
outro produto,-2.7724152372547164
recebi produto,-2.7659968032562756
chegou bem,-2.76112376693618
tive,-2.760636156614887
diferente do,-2.7537954487163305
parte,-2.751273274298934
de otima,-2.736340755563008
excelente entrega,-2.734833786796956
usar,-2.7322663518352854
bem embalado,-2.731760755572181
custo,-2.7267132038962556
muito obrigado,-2.710700774710908
estou satisfeito,-2.709603384011009
faz,-2.704153753352676
de ótima,-2.695913708647501
realmente,-2.6927167215370416
nem,-2.6803768604397544
lojas lannister,-2.6781463635620604
nenhuma,-2.6747569936790754
problemas,-2.6699276771350977
material,-2.658658282850426
quem,-2.648791553671576
mto,-2.6390783125213146
trabalho,-2.631003394408671
ótimo entrega,-2.627979236363221
dias,-2.615920282131378
totalmente,-2.609202384021991
fácil de,-2.6051171863878535
uma,-2.598981074714355
boa loja,-2.596838299028855
direitinho,-2.5963292146533683
dias antes,-2.5956086558541216
dentro das,-2.581843120994926
em casa,-2.576311892629221
tudo em,-2.574068368753728
celular,-2.5729016773437543
deveria,-2.570185241402454
na foto,-2.5667588640330106
mesma,-2.5665664005236892
os,-2.556306767916671
produto otimo,-2.5541448002268248
nao recebi,-2.5540064958370263
chegou perfeito,-2.5468400527826214
péssima qualidade,-2.544013249784168
material de,-2.5411464599804434
tem,-2.540454297333363
excelente recomendo,-2.5358352980609213
prazo determinado,-2.5342816505416486
vai,-2.531584900685462
